ID,信贷额度百分比,信贷利率,,,,
E1,0.012410461,0.0585,,,,
E2,0.016658337,0.0465,,,,
E3,0.016408462,0.048,,,,
E4,0.015908712,0.051,,,,
E5,0.013160087,0.054,,,,
E6,0.015908712,0.0495,,,,
E7,0.016408462,0.048,,,,
E8,0.015408962,0.054,,,,
E9,0.016158587,0.0495,,,,
E10,0.015658837,0.0525,,,,
E11,0.014659337,0.0555,,,,
E12,0.016158587,0.0495,,,,
E13,0.014242879,0.054,,,,
E14,0.015242379,0.048,,,,
E15,0.015159087,0.0555,,,,
E16,0.016408462,0.048,,,,
E17,0.014242879,0.0495,,,,
E18,0.014742629,0.0495,,,,
E19,0.011494253,0.057,,,,
E20,0.011244378,0.0585,,,,
E21,0.011744128,0.0555,,,,
E22,0.014992504,0.048,,,,
E23,0.011994003,0.054,,,,
E24,0.015242379,0.0465,,,,
E25,0.012660336,0.0465,,,,
E26,0.009411961,0.0555,,,,
E27,0.010411461,0.0495,,,,
E28,0.01282692,0.0555,,,,
E29,0,0,,,,
E30,0.014742629,0.0495,,,,
E31,0.012660336,0.048,,,,
E32,0.014076295,0.0465,,,,
E33,0.010827919,0.0555,,,,
E34,0.01332667,0.051,,,,
E35,0.009995002,0.0495,,,,
E36,0,0,,,,
E37,0.009411961,0.0555,,,,
E38,0.013076795,0.0525,,,,
E39,0.011910711,0.0525,,,,
E40,0.012660336,0.0465,,,,
E41,0.011494253,0.0465,,,,
E42,0.01232717,0.057,,,,
E43,0.012577045,0.054,,,,
E44,0.009245377,0.051,,,,
E45,0,0,,,,
E46,0.01232717,0.0525,,,,
E47,0.01182742,0.0525,,,,
E48,0.01382642,0.0465,,,,
E49,0.011410961,0.054,,,,
E50,0.01332667,0.051,,,,
E51,0.010744628,0.048,,,,
E52,0,0,,,,
E53,0.011161086,0.0525,,,,
E54,0.011494253,0.0465,,,,
E55,0.011244378,0.048,,,,
E56,0.008995502,0.0525,,,,
E57,0.009411961,0.057,,,,
E58,0.011494253,0.0465,,,,
E59,0.009745127,0.054,,,,
E60,0.009078794,0.051,,,,
E61,0.010328169,0.0465,,,,
E62,0.009578544,0.0495,,,,
E63,0.01282692,0.051,,,,
E64,0.009328669,0.051,,,,
E65,0.00791271,0.0495,,,,
E66,0.005663835,0.0585,,,,
E67,0.010078294,0.0465,,,,
E68,0.008995502,0.06,,,,
E69,0.00641346,0.0585,,,,
E70,0.009078794,0.051,,,,
E71,0.010494753,0.051,,,,
E72,0.008329169,0.0555,,,,
E73,0.008662335,0.0465,,,,
E74,0.00691321,0.057,,,,
E75,0.00691321,0.0555,,,,
E76,0.006746627,0.0495,,,,
E77,0.008329169,0.057,,,,
E78,0.009328669,0.051,,,,
E79,0.00691321,0.054,,,,
E80,0.009328669,0.0525,,,,
E81,0.005997001,0.051,,,,
E82,0,0,,,,
E83,0.00541396,0.0585,,,,
E84,0.00791271,0.051,,,,
E85,0.007246377,0.0465,,,,
E86,0.00541396,0.0585,,,,
E87,0,0,,,,
E88,0.007246377,0.0465,,,,
E89,0.003998001,0.06,,,,
E90,0.006996502,0.048,,,,
E91,0.004581043,0.0525,,,,
E92,0.00791271,0.0525,,,,
E93,0.004581043,0.054,,,,
E94,0.003331667,0.06,,,,
E95,0.004830918,0.054,,,,
E96,0.007079793,0.06,,,,
E97,0.005580543,0.048,,,,
E98,0.004830918,0.0525,,,,
E99,0,0,,,,
E100,0,0,,,,
E101,0,0,,,,
E102,0,0,,,,
E103,0,0,,,,
E104,0.003831418,0.06,,,,
E105,0.004081293,0.0585,,,,
E106,0.003165084,0.054,,,,
E107,0,0,,,,
E108,0,0,,,,
E109,0,0,,,,
E110,0.002415459,0.0585,,,,
E111,0,0,,,,
E112,0,0,,,,
E113,0,0,,,,
E114,0,0,,,,
E115,0,0,,,,
E116,0,0,,,,
E117,0,0,,,,
E118,0,0,,,,
E119,0,0,,,,
E120,0,0,,,,
E121,0,0,,,,
E122,0,0,,,,
E123,0,0,,,,
