ID,信贷额度百分比,信贷利率,信贷额度（万元）,,,,,,
E124,0.005369825,0.082,53.69825048,,,,,,
E125,0.005265893,0.0835,52.6589295,,,,,,
E126,0.006720942,0.076,67.20942318,,,,,,
E127,0.006409146,0.0805,64.09146025,,,,,,
E128,0.006824874,0.0745,68.24874415,,,,,,
E129,0.00661701,0.0775,66.1701022,,,,,,
E130,0.006409146,0.079,64.09146025,,,,,,
E131,0.00661701,0.076,66.1701022,,,,,,
E132,0.006305214,0.082,63.05213927,,,,,,
E133,0,0,0,,,,,,
E134,0.006339858,0.0745,63.39857959,,,,,,
E135,0.006824874,0.0745,68.24874415,,,,,,
E136,0,0,0,,,,,,
E137,0.00661701,0.076,66.1701022,,,,,,
E138,0.006235926,0.0745,62.35925862,,,,,,
E139,0.006409146,0.0805,64.09146025,,,,,,
E140,0.006824874,0.0745,68.24874415,,,,,,
E141,0.006928807,0.073,69.28806513,,,,,,
E142,0.005750909,0.0745,57.50909406,,,,,,
E143,0.005854842,0.073,58.54841504,,,,,,
E144,0.006928807,0.073,69.28806513,,,,,,
E145,0.004988741,0.0805,49.88740689,,,,,,
E146,0.004988741,0.082,49.88740689,,,,,,
E147,0.006201282,0.0805,62.01281829,,,,,,
E148,0.006201282,0.0835,62.01281829,,,,,,
E149,0.006305214,0.082,63.05213927,,,,,,
E150,0.006028062,0.076,60.28061666,,,,,,
E151,0.006201282,0.0835,62.01281829,,,,,,
E152,0.00644379,0.073,64.43790057,,,,,,
E153,0.006305214,0.082,63.05213927,,,,,,
E154,0.00429586,0.0835,42.95860038,,,,,,
E155,0.004884809,0.082,48.84808592,,,,,,
E156,0.00661701,0.0775,66.1701022,,,,,,
E157,0.005023385,0.082,50.23384722,,,,,,
E158,0.005716265,0.079,57.16265373,,,,,,
E159,0,0,0,,,,,,
E160,0.006409146,0.079,64.09146025,,,,,,
E161,0.006305214,0.082,63.05213927,,,,,,
E162,0.004988741,0.082,49.88740689,,,,,,
E163,0.006028062,0.0775,60.28061666,,,,,,
E164,0.006235926,0.0745,62.35925862,,,,,,
E165,0.005716265,0.079,57.16265373,,,,,,
E166,0.005335181,0.082,53.35181015,,,,,,
E167,0,0,0,,,,,,
E168,0.006028062,0.079,60.28061666,,,,,,
E169,0.00592413,0.0775,59.24129569,,,,,,
E170,0.005543045,0.0775,55.4304521,,,,,,
E171,0.006235926,0.0745,62.35925862,,,,,,
E172,0.005750909,0.073,57.50909406,,,,,,
E173,0,0,0,,,,,,
E174,0.005612333,0.0775,56.12333276,,,,,,
E175,0.004399792,0.082,43.99792136,,,,,,
E176,0.005543045,0.0775,55.4304521,,,,,,
E177,0,0,0,,,,,,
E178,0.004399792,0.082,43.99792136,,,,,,
E179,0.005543045,0.076,55.4304521,,,,,,
E180,0.005023385,0.0775,50.23384722,,,,,,
E181,0.004399792,0.082,43.99792136,,,,,,
E182,0.004711588,0.079,47.11588429,,,,,,
E183,0.005058029,0.0775,50.58028755,,,,,,
E184,0.004954097,0.076,49.54096657,,,,,,
E185,0.006028062,0.079,60.28061666,,,,,,
E186,0.005854842,0.0745,58.54841504,,,,,,
E187,0,0,0,,,,,,
E188,0.004607656,0.079,46.07656331,,,,,,
E189,0.005265893,0.073,52.6589295,,,,,,
E190,0.006131994,0.0775,61.31993764,,,,,,
E191,0,0,0,,,,,,
E192,0,0,0,,,,,,
E193,0.006028062,0.079,60.28061666,,,,,,
E194,0.00592413,0.079,59.24129569,,,,,,
E195,0.00592413,0.0775,59.24129569,,,,,,
