ID,企业风险量化值,企业风险评级,,,,
E124,3.941743773,4,,,,
E125,3.908558848,3,,,,
E126,4.374486754,8,,,,
E127,4.10264723,5,,,,
E128,4.402911619,9,,,,
E129,4.278627387,7,,,,
E130,4.170678502,6,,,,
E131,4.366003318,8,,,,
E132,4.016326949,4,,,,
E133,3.799523593,2,,,,
E134,4.451552529,9,,,,
E135,4.425861701,9,,,,
E136,3.343731635,1,,,,
E137,4.302359954,8,,,,
E138,4.463248187,9,,,,
E139,4.072206773,5,,,,
E140,4.385217256,9,,,,
E141,4.514838051,10,,,,
E142,4.457840262,9,,,,
E143,4.521957355,10,,,,
E144,4.591048572,10,,,,
E145,4.103957846,5,,,,
E146,3.95654953,4,,,,
E147,4.108905074,5,,,,
E148,3.885968281,3,,,,
E149,3.931636118,4,,,,
E150,4.371469916,8,,,,
E151,3.906815294,3,,,,
E152,4.561694362,10,,,,
E153,3.918246463,4,,,,
E154,3.853834124,3,,,,
E155,3.950636492,4,,,,
E156,4.291492297,7,,,,
E157,4.025063322,4,,,,
E158,4.200556016,6,,,,
E159,3.794664068,2,,,,
E160,4.175447656,6,,,,
E161,3.970990128,4,,,,
E162,3.968503779,4,,,,
E163,4.231446469,7,,,,
E164,4.386724016,9,,,,
E165,4.205407135,6,,,,
E166,4.027530493,4,,,,
E167,3.720100313,2,,,,
E168,4.178601351,6,,,,
E169,4.289246846,7,,,,
E170,4.270281609,7,,,,
E171,4.433568639,9,,,,
E172,4.495129887,10,,,,
E173,3.770781685,2,,,,
E174,4.251000726,7,,,,
E175,3.96768167,4,,,,
E176,4.248563394,7,,,,
E177,3.75149757,2,,,,
E178,3.936710071,4,,,,
E179,4.318680205,8,,,,
E180,4.290236464,7,,,,
E181,3.921642156,4,,,,
E182,4.213534248,6,,,,
E183,4.284782497,7,,,,
E184,4.353258411,8,,,,
E185,4.149494293,6,,,,
E186,4.44302188,9,,,,
E187,2.77382677,1,,,,
E188,4.183720126,6,,,,
E189,4.485384965,10,,,,
E190,4.266207306,7,,,,
E191,3.417725783,1,,,,
E192,3.542280763,1,,,,
E193,4.152671782,6,,,,
E194,4.160831614,6,,,,
E195,4.268782087,7,,,,
E196,3.981710395,4,,,,
E197,4.44714435,9,,,,
E198,4.015659809,4,,,,
E199,3.835271906,3,,,,
E200,4.004510725,4,,,,
E201,4.244283999,7,,,,
E202,4.152247005,6,,,,
E203,4.353104369,8,,,,
E204,4.227111136,7,,,,
E205,4.306934319,8,,,,
E206,4.127091725,6,,,,
E207,4.036975915,5,,,,
E208,3.720151738,2,,,,
E209,4.494220937,10,,,,
E210,3.823501547,3,,,,
E211,4.261121858,7,,,,
E212,4.36721476,8,,,,
E213,4.216413215,7,,,,
E214,4.245690315,7,,,,
E215,3.97383579,4,,,,
E216,4.444001188,9,,,,
E217,3.01222631,1,,,,
E218,4.190413516,6,,,,
E219,3.981224568,4,,,,
E220,4.071983716,5,,,,
E221,3.867050132,3,,,,
E222,4.238031462,7,,,,
E223,3.881757005,3,,,,
E224,3.759626276,2,,,,
E225,4.453576492,9,,,,
E226,4.076195968,5,,,,
E227,4.140902079,6,,,,
E228,4.573467209,10,,,,
E229,3.698045457,2,,,,
E230,4.154290822,6,,,,
E231,3.86480008,3,,,,
E232,3.898309166,3,,,,
E233,3.807545832,3,,,,
E234,4.351604915,8,,,,
E235,4.122114203,5,,,,
E236,4.083574049,5,,,,
E237,4.064377419,5,,,,
E238,4.199536174,6,,,,
E239,3.753089541,2,,,,
E240,3.537561088,1,,,,
E241,4.364139962,8,,,,
E242,3.011286616,1,,,,
E243,4.398401451,9,,,,
E244,4.300084347,8,,,,
E245,4.287269755,7,,,,
E246,4.563287267,10,,,,
E247,4.544464843,10,,,,
E248,4.320191946,8,,,,
E249,4.197153589,6,,,,
E250,4.269278208,7,,,,
E251,3.768445512,2,,,,
E252,4.028238415,4,,,,
E253,4.183114442,6,,,,
E254,4.402257051,9,,,,
E255,4.44403838,9,,,,
E256,4.384480474,9,,,,
E257,4.295710772,8,,,,
E258,4.515777745,10,,,,
E259,4.558369109,10,,,,
E260,4.364988725,8,,,,
E261,4.644252075,10,,,,
E262,3.942812699,4,,,,
E263,4.359059445,8,,,,
E264,3.071982919,1,,,,
E265,3.898065714,3,,,,
E266,4.459215416,9,,,,
E267,4.091846689,5,,,,
E268,4.038494145,5,,,,
E269,4.291866425,7,,,,
E270,4.23407114,7,,,,
E271,4.05920311,5,,,,
E272,4.691531028,10,,,,
E273,4.448305953,9,,,,
E274,3.613456307,2,,,,
E275,4.124991461,5,,,,
E276,4.512240236,10,,,,
E277,3.781910112,2,,,,
E278,4.232157564,7,,,,
E279,4.107821105,5,,,,
E280,4.074846907,5,,,,
E281,3.635302459,2,,,,
E282,4.320615675,8,,,,
E283,4.328839585,8,,,,
E284,4.480446678,9,,,,
E285,4.100398252,5,,,,
E286,4.068719321,5,,,,
E287,4.234354293,7,,,,
E288,3.958865813,4,,,,
E289,4.311549065,8,,,,
E290,4.602003105,10,,,,
E291,3.072762508,1,,,,
E292,4.423967401,9,,,,
E293,3.65113625,2,,,,
E294,4.551985412,10,,,,
E295,4.199359411,6,,,,
E296,4.392741669,9,,,,
E297,3.482407117,1,,,,
E298,4.366787332,8,,,,
E299,3.70004835,2,,,,
E300,4.131244471,6,,,,
E301,4.651028578,10,,,,
E302,4.726870437,10,,,,
E303,4.635194162,10,,,,
E304,3.894171927,3,,,,
E305,4.173590808,6,,,,
E306,4.498426162,10,,,,
E307,4.445445596,9,,,,
E308,4.066528223,5,,,,
E309,4.086046319,5,,,,
E310,4.481349745,10,,,,
E311,4.214617345,6,,,,
E312,3.429921293,1,,,,
E313,4.303137949,8,,,,
E314,4.40957815,9,,,,
E315,4.683322666,10,,,,
E316,4.604442882,10,,,,
E317,4.668581056,10,,,,
E318,4.229502362,7,,,,
E319,4.080570727,5,,,,
E320,3.671751633,2,,,,
E321,4.465952518,9,,,,
E322,3.831691255,3,,,,
E323,4.151189005,6,,,,
E324,3.796845277,2,,,,
E325,3.525768833,1,,,,
E326,4.107330733,5,,,,
E327,4.039123093,5,,,,
E328,4.524941468,10,,,,
E329,3.899923419,3,,,,
E330,4.701524201,10,,,,
E331,4.402336628,9,,,,
E332,3.923250625,4,,,,
E333,4.359880262,8,,,,
E334,4.164851221,6,,,,
E335,4.190661344,6,,,,
E336,3.424073053,1,,,,
E337,4.426203987,9,,,,
E338,4.543485802,10,,,,
E339,4.165915144,6,,,,
E340,4.010130436,4,,,,
E341,4.330058291,8,,,,
E342,4.52754523,10,,,,
E343,3.806116018,3,,,,
E344,3.748079963,2,,,,
E345,4.545761513,10,,,,
E346,3.889885883,3,,,,
E347,4.371494959,8,,,,
E348,4.293325033,7,,,,
E349,3.539933765,1,,,,
E350,4.469504938,9,,,,
E351,4.031448329,5,,,,
E352,3.177894281,1,,,,
E353,4.266942096,7,,,,
E354,4.140421147,6,,,,
E355,3.221148084,1,,,,
E356,3.858647395,3,,,,
E357,3.725323146,2,,,,
E358,3.764373871,2,,,,
E359,3.826039766,3,,,,
E360,3.485008964,1,,,,
E361,3.830137821,3,,,,
E362,4.212205981,6,,,,
E363,4.283896683,7,,,,
E364,4.564403054,10,,,,
E365,4.373151626,8,,,,
E366,3.889746947,3,,,,
E367,3.929941541,4,,,,
E368,3.883032362,3,,,,
E369,4.373281318,8,,,,
E370,3.954467242,4,,,,
E371,4.070330722,5,,,,
E372,4.460359561,9,,,,
E373,3.803687127,2,,,,
E374,3.982502407,4,,,,
E375,3.871140023,3,,,,
E376,3.330854237,1,,,,
E377,4.36382754,8,,,,
E378,3.892502506,3,,,,
E379,4.393673773,9,,,,
E380,2.996933994,1,,,,
E381,3.262258881,1,,,,
E382,3.330854237,1,,,,
E383,3.740478355,2,,,,
E384,3.805200589,3,,,,
E385,3.731044368,2,,,,
E386,3.923565471,4,,,,
E387,3.764373871,2,,,,
E388,4.296262191,8,,,,
E389,3.85828461,3,,,,
E390,3.485008964,1,,,,
E391,3.867546544,3,,,,
E392,4.104835346,5,,,,
E393,3.63706953,2,,,,
E394,3.898975642,3,,,,
E395,4.423907339,9,,,,
E396,3.881979634,3,,,,
E397,3.384712152,1,,,,
E398,4.165079087,6,,,,
E399,4.021458945,4,,,,
E400,3.910808651,3,,,,
E401,4.115909572,5,,,,
E402,3.664707272,2,,,,
E403,4.323780273,8,,,,
E404,3.743290046,2,,,,
E405,3.369940392,1,,,,
E406,3.770876691,2,,,,
E407,4.239769702,7,,,,
E408,3.970077367,4,,,,
E409,4.31410226,8,,,,
E410,4.286587406,7,,,,
E411,3.67150825,2,,,,
E412,4.164518916,6,,,,
E413,4.230226788,7,,,,
E414,3.39531581,1,,,,
E415,3.21467294,1,,,,
E416,3.074122003,1,,,,
E417,4.054356834,5,,,,
E418,4.04314201,5,,,,
E419,3.437510393,1,,,,
E420,3.552882855,2,,,,
E421,4.029071582,4,,,,
E422,3.354044476,1,,,,
E423,3.157969841,1,,,,
E424,3.243692374,1,,,,
E425,4.076480118,5,,,,
