ID,信贷额度百分比,信贷额度（万元）,信贷利率,,,,,
E124,0.004805798,48.05798,0.075,,,,,
E125,0.004727015,47.27015,0.0765,,,,,
E126,0.005829985,58.29985,0.069,,,,,
E127,0.005593634,55.93634,0.0735,,,,,
E128,0.005908769,59.08769,0.0675,,,,,
E129,0.005751201,57.51201,0.0705,,,,,
E130,0.005593634,55.93634,0.072,,,,,
E131,0.005751201,57.51201,0.069,,,,,
E132,0.005514851,55.14851,0.075,,,,,
E133,0,0,0,,,,,
E134,0.005908769,59.08769,0.0645,,,,,
E135,0.00638147,63.8147,0.0645,,,,,
E136,0,0,0,,,,,
E137,0.006223903,62.23903,0.066,,,,,
E138,0.005357284,53.57284,0.0675,,,,,
E139,0.005593634,55.93634,0.0735,,,,,
E140,0.00638147,63.8147,0.0645,,,,,
E141,0.006460254,64.60254,0.066,,,,,
E142,0.007563224,75.63224,0.0615,,,,,
E143,0.007011739,70.11739,0.066,,,,,
E144,0.005829985,58.29985,0.066,,,,,
E145,0.004884582,48.84582,0.0705,,,,,
E146,0.004884582,48.84582,0.072,,,,,
E147,0.005908769,59.08769,0.0705,,,,,
E148,0.005593634,55.93634,0.0765,,,,,
E149,0.005357284,53.57284,0.075,,,,,
E150,0.005672418,56.72418,0.066,,,,,
E151,0.005908769,59.08769,0.0735,,,,,
E152,0.007720791,77.20791,0.06,,,,,
E153,0.005514851,55.14851,0.075,,,,,
E154,0.004254313,42.54313,0.0765,,,,,
E155,0.004333097,43.33097,0.075,,,,,
E156,0.005751201,57.51201,0.0705,,,,,
E157,0.004805798,48.05798,0.072,,,,,
E158,0.005436067,54.36067,0.069,,,,,
E159,0,0,0,,,,,
E160,0.006066336,60.66336,0.069,,,,,
E161,0.005357284,53.57284,0.075,,,,,
E162,0.006460254,64.60254,0.075,,,,,
E163,0.007405657,74.05657,0.0645,,,,,
E164,0.005357284,53.57284,0.0675,,,,,
E165,0.005436067,54.36067,0.072,,,,,
E166,0.005042149,50.42149,0.072,,,,,
E167,0,0,0,,,,,
E168,0.005672418,56.72418,0.069,,,,,
E169,0.005593634,55.93634,0.0675,,,,,
E170,0.005199716,51.99716,0.0675,,,,,
E171,0.005829985,58.29985,0.0645,,,,,
E172,0.007563224,75.63224,0.06,,,,,
E173,0,0,0,,,,,
E174,0.005357284,53.57284,0.0675,,,,,
E175,0.004333097,43.33097,0.075,,,,,
E176,0.006775388,67.75388,0.0705,,,,,
E177,0,0,0,,,,,
E178,0.004017963,40.17963,0.075,,,,,
E179,0.005514851,55.14851,0.069,,,,,
E180,0.004805798,48.05798,0.0675,,,,,
E181,0.004333097,43.33097,0.075,,,,,
E182,0.004884582,48.84582,0.072,,,,,
E183,0.004727015,47.27015,0.0675,,,,,
E184,0.004648231,46.48231,0.066,,,,,
E185,0.005987552,59.87552,0.072,,,,,
E186,0.004805798,48.05798,0.0675,,,,,
E187,0,0,0,,,,,
E188,0.004490664,44.90664,0.069,,,,,
E189,0.004884582,48.84582,0.063,,,,,
E190,0.005120933,51.20933,0.0705,,,,,
E191,0,0,0,,,,,
E192,0,0,0,,,,,
E193,0.005199716,51.99716,0.072,,,,,
E194,0.005593634,55.93634,0.072,,,,,
E195,0.007326873,73.26873,0.0645,,,,,
E196,0.005199716,51.99716,0.075,,,,,
E197,0.007563224,75.63224,0.0615,,,,,
E198,0.003545261,35.45261,0.075,,,,,
E199,0.0052785,52.785,0.0765,,,,,
E200,0.003466478,34.66478,0.075,,,,,
E201,0.006617821,66.17821,0.0645,,,,,
E202,0.005199716,51.99716,0.072,,,,,
E203,0.004727015,47.27015,0.066,,,,,
E204,0.006696604,66.96604,0.0705,,,,,
E205,0.004805798,48.05798,0.069,,,,,
E206,0.005514851,55.14851,0.069,,,,,
E207,0.005042149,50.42149,0.0735,,,,,
E208,0,0,0,,,,,
E209,0.0052785,52.785,0.063,,,,,
E210,0.005436067,54.36067,0.0735,,,,,
E211,0.00417553,41.7553,0.0705,,,,,
E212,0.005593634,55.93634,0.069,,,,,
E213,0.006066336,60.66336,0.0705,,,,,
E214,0.004648231,46.48231,0.0675,,,,,
E215,0.005514851,55.14851,0.072,,,,,
E216,0.0052785,52.785,0.0645,,,,,
E217,0,0,0,,,,,
E218,0.004963366,49.63366,0.069,,,,,
E219,0.004254313,42.54313,0.075,,,,,
E220,0.004963366,49.63366,0.0735,,,,,
E221,0.004569448,45.69448,0.0765,,,,,
E222,0.005987552,59.87552,0.0705,,,,,
E223,0.005829985,58.29985,0.0765,,,,,
E224,0,0,0,,,,,
E225,0.004727015,47.27015,0.0675,,,,,
E226,0.004254313,42.54313,0.0705,,,,,
E227,0.004254313,42.54313,0.072,,,,,
E228,0.004884582,48.84582,0.066,,,,,
E229,0,0,0,,,,,
E230,0.004017963,40.17963,0.072,,,,,
E231,0.003860395,38.60395,0.0735,,,,,
E232,0.006223903,62.23903,0.0765,,,,,
E233,0.004254313,42.54313,0.0765,,,,,
E234,0.004805798,48.05798,0.066,,,,,
E235,0.003545261,35.45261,0.0735,,,,,
E236,0.004096746,40.96746,0.0735,,,,,
E237,0.003939179,39.39179,0.0735,,,,,
E238,0.00417553,41.7553,0.072,,,,,
E239,0,0,0,,,,,
E240,0,0,0,,,,,
